Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source
2016.07.26,26-Jul-16,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,18,"No injury. Leg rope severed, knocked off board by shark",N,12h00,,"Gold Coast Bulletin, 7/28/2016"
2016.07.20,20-Jul-16,2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,After noon,"reef shark, 1m","Nine News, 7/20/2016"
2016.07.16.b,16-Jul-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,9,Minor injury to leg,N,1300,,"Orlando Sentinel, 7/21/2016"
2016.07.16.a,16-Jul-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,F,11,Minor injury to toes,N,11h00,,"Orlando Sentinel, 7/21/2016"
2016.07.15,15-Jul-16,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,,Puncture wounds to foot,N,,,"C. Creswell, GSAF"
2016.07.08,08-Jul-16,2016,Boat,USA,California,"Capitola, Santa Cruz County",Fishing for squid,M,,"No injury. Hull bitten, tooth fragment recovered",N,,White shark,"R. Collier, GSAF"
2016.07.07.a,07-Jul-16,2016,Boat,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,M,,"No injury. Hull bitten, tooth fragment recovered",N,,White shark,"R. Collier, GSAF"
2016.07.06,06-Jul-16,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N,14h30 / 15h30,,"Florida Today, 7/6/2016"
2016.07.04,04-Jul-16,2016,Provoked,AUSTRALIA,Queensland,Palm Cove ,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00,Tawny nurse shark,"Cairns Post, 7/9/2016"
2016.06.27,27-Jun-16,2016,Unprovoked,USA,South Carolina,Sullivan's Island,,M,35,Minor injury,N,16h20,3' to 4' shark,"C. Creswell, GSAF"
2016.06.23,23-Jun-16,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,M,43,Injuries to left leg & right hand,N,,White shark,"News 24, 6/23/2016"
2016.06.21.b,21-Jun-16,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,M,42,Lacerations and punctures to foot,N,15h25,3' to 5' shark,"C. Creswell, GSAF"
2016.06.21.a,21-Jun-16,2016,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,M,,Injuries to right calf,N,14h55,,"Florida Today, 6/22/2016"
2016.06.15.b,15-Jun-16,2016,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,,Single puncture wound to arm,N,06h00,3' to 4' shark,"West Hawaii Today, 6/16/2016"
2016.06.15.a,15-Jun-16,2016,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,M,19,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,,5' shark,"Perth Now, 6/16/2016"
2016.06.07,07-Jun-16,2016,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,27,"No injury, board damaged",N,11h30,Said to involve an 8' shark but more likely damage caused by debris,"C. Creswell, GSAF"
2016.06.05.b,05-Jun-16,2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,64,Leg bitten,N,08h30,,"Daytona Beach News-Journal, 6/5/2016"
2016.06.05.a,05-Jun-16,2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,F,60,FATAL,Y,11h30,3+ m shark,"B. Myatt, GSAF"
2016.06.02.b,02-Jun-16,2016,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,Spearfishing,M,,"No injury, but sharks repeatedly hit their fins and guns",,,Bronze whaler sharks x 3,"Gold Coast Bulletin, 6/4/2016"
2016.05.31,31-May-16,2016,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,29,FATAL,Y,16h00,White shark,"Perth Now, 5/31/2016"
2016.05.29.b,29-May-16,2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,52,Injuries to arm and shoulder,N,16h00,,"R. Collier, GSAF"
2016.05.29.a,29-May-16,2016,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,M,13,Injury to posterior right leg,N,15h45,5' shark,"News4Jax, 5/29/2016"
2016.05.22,22-May-16,2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,57,Puncture wounds to thigh,N,12h00,,"Florida Today, 5/22/2016"
2016.05.21.b,21-May-16,2016,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",Swimming,F,22,Lacerations and puncture wounds to foot and ankle,N,18h00,"Bull shark, 4' to 5'","ABC Action News, 6/15/2016"
2016.05.21.a,21-May-16,2016,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,F,11,"Back, arm & hand injured",N,17h46,,"Action News Jax, 5/23/2016"
2016.05.18,18-May-16,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,M,48,Ankle bitten,N,Morning ,"Blacktip shark, 4'","News4Jax, 5/19/2016"
2016.05.15,15-May-16,2016,Provoked,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,F,23,Arm grabbed PROVOKED INCIDENT,N,13h20,"Nurse shark, 2'","CBS News, 5/16/2016"
2016.05.03,03-May-16,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Floating,M,59,Minor lacerations to right shoulder,N,15h49,,"Maui Now, 5/3/2016"
2016.04.23,23-Apr-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Minor injury to left foot,N,17h30,,"News4Jax, 4/23/2016"
2016.04.22,22-Apr-16,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,M,,"No injury, surf-ski bitten",N,08h00,White shark,"Knysna-Plett Herald, 4/22/2016"
2016.04.19,19-Apr-16,2016,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Swimming,M,12,Minor puncture wound to foot,N,12h00,Wobbegong shark,"Gold Coast Bulletin, 4/19/2016"
2016.04.13,13-Apr-16,2016,Unprovoked,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,M,26,Multiple bites to right arm,N,,"Bull shark, 7'","Palm Beach Post, 4/13/2016"
2016.04.07.b,07-Apr-16,2016,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Fishing,M,34,Left hand bitten,N,,5' to 6' shark,
2016.04.07.a,07-Apr-16,2016,Invalid,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",SUP,M,,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N,,,YouTube
2016.03.31,31-Mar-16,2016,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,46,Minor injury to left foot,N,11h00,,"Maui Now, 3/31/2016"
2016.03.30,30-Mar-16,2016,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,Surfing,M,22,Severe injury to thigh,N,19h00,,"Daily Telegraph, 3/30/2016"
2016.03.28.b,28-Mar-16,2016,Unprovoked,USA,Florida,"Fort Myers Beach, Lee County",,M,Teen,Minor injury to arm. Possibly caused by smalll nurse shark,N,,Shark involvement not confirmed,"Fox 35, 3/30/2015"
2016.03.28.a,28-Mar-16,2016,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,Surfing,M,41,"No injury, board dented",N,11h00,,"B. Myatt, GSAF"
2016.03.13,13-Mar-16,2016,Invalid,USA,California,"Bolsa Chica State Park, Orange County",Surfing,,,Board reportedly bumped by shark. No injury,N,Morning,Shark involvement not confirmed,"Orange County Register, 3/13/2016"
2016.03.11,11-Mar-16,2016,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,M,19,Lacerations to right foot and ankle,N,13h30,,"WCBV-5, 3/31/206"
2016.03.04,04-Mar-16,2016,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",,M,12,Superficial injury to foot,N,Afternoon,,WPTV. 3/4/2016
2016.03.03.R,Reported 03-Mar-2016,2016,Unprovoked,AUSTRALIA,South Australia,Wrights Bay,Fishing,M,,Puncture wounds to right calf,N,Midnight,Bronze whaler,"9 News, 3/1/2016"
2016.02.05,05-Feb-16,2016,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,Walking,F,45,Foot nipped,N,13h20,,"Courier Mail, 2/5/2016"
2016.02.04,04-Feb-16,2016,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Windsurfing,M,40,"No injury, shark bit board",N,Late afternoon,,"B. Myatt, GSAF"
2016.01.29,29-Jan-16,2016,Boat,SOUTH AFRICA,KwaZulu-Natal,,Kayak fishing,M,,"No injury, shark capsized kayak",N,,,"Nine News, 2/1/2016"
2016.01.28,28-Jan-16,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,,Lacerations to both hands,N,14h00,"Reef shark, 5'",KHON2. 1/28/2016
2016.01.25,25-Jan-16,2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai, ",Surfing,F,15,No injury,N,11h30,,"The Garden Island, 2/2/2016"
2016.01.23,23-Jan-16,2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Paddle boarding,M,48,No injury,N,Morning,"Tiger shark, 14'","Grand Forks Herald, 1/27/2915"
2016.01.11.R,Reported 11-Jan-2016,2016,Unprovoked,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Surfing,M,,Laceration to right foot,N,,Wobbegong shark,"ABC Sunshine Coast, 1/11/2016"
2016.01.05,05-Jan-16,2016,Unprovoked,AUSTRALIA,Queensland,Heron Island,Wading,M,11,Laceration to right calf,N,Afternoon,Blacktip shark,"Nine News, 1/5/2016"
2016.01.02,02-Jan-16,2016,Unprovoked,AUSTRALIA,Queensland,Miall Island,Spearfishing,M,31,Lacerations to arms & leg,N,11h30,3 m shark,"Courier Mail, 1/2/2016"
2015.12.26,26-Dec-15,2015,Boat,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,Kayak Fishing,M,,"No injury, kayak damaged",N,Morning,"White shark, 3 m","Traveller24, 12/26/2015"
2015.12.22,22-Dec-15,2015,Unprovoked,USA,Hawaii,La'aloa Beach Park,Paddle boarding,M,71,"No injury, shark bit board",N,Morning,9' shark,"West Hawaii Today, 12/23/2015"
2015.12.21.b,21-Dec-15,2015,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach,Surfing,M,43,"No injury, shark leapt on surfboard",N,07h00,"Bronze whaler shark, 6'","The Telegraph, 12/22/;2015"
2015.12.13,13-Dec-15,2015,Boat,AUSTRALIA,New South Wales,Lake Macquarie,Fishing,,,"No injury, shark rammed boat & bit motor",N,10h30,"White shark, 3.5 m","Courier Mail, 12/15/2015"
2015.12.08,08-Dec-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming / Wading,F,22,Lacerations to both hands and forearms,N,Morning,,"The Bulletin, 12/17/2015"
2015.11.16,16-Nov-15,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,,Right heel injured,N,Afternoon,,WFTV. 11/17/2015
2015.11.15.b,15-Nov-15,2015,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,,Leg injured,N,Morning,,"Palm Beach Post, 11/16/2015"
2015.11.15.a,15-Nov-15,2015,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,M,28,Lacerations to hand,N,,"Spinner shark, 7'","5WPTV, 11/15/2015"
2015.11.10,10-Nov-15,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Surfing,M,20,Injury to left thigh,N,18h15,"Bull shark, 2.8 to 3.1 m","The Sydney Morning Herald, 11/11/2015"
2015.12.23,07-Nov-15,2015,Invalid,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,F,9,Lower left leg injured,N,11h00,Shark involvement not confirmed,"Fox25Orlando, 11/7/2015"
2015.11.03,03-Nov-15,2015,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,M,54,Laceration to right ankle,N,11h00,,"Hawaii News Now, 11/4/2015"
2015.11.01.b,01-Nov-15,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,28,Injury to right ankle/calf & hand,N,14h00,3' to 5' shark,"USA Today, 11/1/2015"
2015.10.30,30-Oct-15,2015,Unprovoked,AUSTRALIA,Western Australia,Bald Island,Spearfishing,M,50,Minor injury,N,,,"Perth Now, 10/30/2015"
2015.10.28.a,28-Oct-15,2015,Unprovoked,USA,Hawaii,"Malaka, Oahu",Body boarding,M,10,"Lacerations & puncture wounds to right thigh, calf & ankle",N,14h50,,"Star Advertiser, 10/28/2015"
2015.10.25,25-Oct-15,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,M,42,"Lacerations to right calf, knee & hip",N,15h00,"White shark, 3 to 3.5m ","News 24, 10/26/2015"
2015.10.21,21-Oct-15,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,21,Lacerations to left hand,N,14h30,5' shark,"ClickOrlando.com, 10/21/2015"
2015.10.19,19-Oct-15,2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,M,21,Left foot bitten,N,13h50,"Spinner shark, 5'","NBC6.com, 10/19/2015"
2015.10.17.b,17-Oct-15,2015,Invalid,USA,Hawaii,"Waikiki, ",Surfing,M,32,Left foot bitten by eel,N,19h20,No shark involvement,"KHON2, 10/17/2015"
2015.10.17.a,17-Oct-15,2015,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,44,Injuries to lower legs,N,11h30,"Tiger shark, 7'","KHON2, 10/17/2015"
2015.10.13,13-Oct-15,2015,Boat,USA,California,"Off Leffingwell Landing, San Luis Obispo County",Kayak Fishing,M,,"No injury, shark rammed kayak repeatedly",N,11h00,Hammerhead sp.,"The Tribune, 10/28/2015"
2015.10.09.b,09-Oct-15,2015,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,F,9,Laceration to forearm,N,16h20,,"C. Creswell, GSAF"
2015.10.09.a,09-Oct-15,2015,Unprovoked,USA,Hawaii,"Leftovers, Oahu",Surfing,M,25,"Left leg severed below the knee, defense injuries to left hand",N,10h25,"Tiger shark, 13' ","Hawaii News Now, 10/9/2015"
2015.10.07,07-Oct-15,2015,Unprovoked,AUSTRALIA,Western Australia,Pyramids Beach,Surfing,M,18,Foot injured,N,16h50,,"Daily Mail, 10/7/2015"
2015.10.05.b,05-Oct-15,2015,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,M,22,2 lacerations to ankle,N,13h00,,"WPBF.com, 10/6/2015"
2015.10.04,04-Oct-15,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Severe lacerations to left hand,N,08h30,"Blacktip shark, 4' to 5'","CNN, 10/4/2015"
2015.09.29,29-Sep-15,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,M,22,"Laceration to heel, puncture wounds to dorsum of foot",N,16h20,"Blacktip shark, 5' to 6'","First Coast News, 9/30/2015"
2015.09.26,26-Sep-15,2015,Unprovoked,AUSTRALIA,Queensland,"Russel Island, Frankland Group",Snorkeling,F,7,Laceration to leg,N,Afternoon,,"The Cairns Post, 9/28/2015"
2015.09.24,24-Sep-15,2015,Unprovoked,USA,California,"Horseshoe Rock, Santa Barbara County",Kayak fishing,M,,"No injury, kayak damaged",N,10h45-11h15,"White shark, 19'",R. Collier
2015.09.20.d,20-Sep-15,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Minor injury to left ankle,N,16h45,juvenile shark,"Orlando Sentinel, 9/20/2015"
2015.09.20.c,20-Sep-15,2015,Unprovoked,USA,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,M,27,Severe laceration to left leg,N,15h52,"Tiger shark, 13'","Big Island Video, 9/20/2015"
2015.09.20.b,20-Sep-15,2015,Unprovoked,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,M,12,Significant injuries to leg,N,12h30,4' shark,"News4Jax, 9/21/2015"
2015.09.20.a,20-Sep-15,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Photographing fish,M,16,Injury to right hand / wrist,N,07h30,,"News4JAX, 9/21/2015"
2015.09.18,18-Sep-15,2015,Unprovoked,USA,Florida,"Big Talbot Island, Duval County",Swimming,M,,Lacerations to calf,N,19h00,,"Action News Jax, 9/23/2015"
2015.09.17,17-Sep-15,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,20,Injury to right foot,N,15h00,,"News4JAX, 9/15/2015"
2015.09.08,08-Sep-15,2015,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,M,42,Minor laceration to hand,N,06h15,6' shark,"ABC News, 9/8/2015"
2015.09.06,06-Sep-15,2015,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,F,50,"No injury, shark struck board, tossing her into the sea",N,17h30,"White shark, 11' to 12'","R. Collier, GSAF"
2015.09.05,05-Sep-15,2015,Provoked,USA,California,"Deer Creek Beach, Ventura County",Kayak Fishing,M,29,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,14h40,Hammerhead shark.,"R. Collier, GSAF"
2015.09.04,04-Sep-15,2015,Unprovoked,AUSTRALIA,New South Wales,Hallidays Point,Surf-skiing,M,62,Inuries to lower left leg & ankle,N,11h30,"White shark, 2.5 m","The Sydney Morning Herald, 9/4/2015"
2015.09.03,03-Sep-15,2015,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",,M,,Right foot bitten,N,16h00,4' shark?,"C. Creswell, GSAF"
2015.08.29.b,29-Aug-15,2015,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,54,"No injury, surfboard bitten",N,10h25,"White shark, 11' to 12'","R. Collier, GSAF"
2015.08.29.a,29-Aug-15,2015,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County",Surfing,M,21,"No injury, shark struk sufer's leg and his board",N,10h00,"White shark, 10' to 12' ","R. Collier, GSAF"
2015.08.22.b,22-Aug-15,2015,Invalid,USA,Florida,"Cocoa Beach, Brevard  County",,M,,Wound to right lower leg,N,19h45,Shark involvement not confirmed,"Brevard Times, 8/22/2015"
2015.08.22.a,22-Aug-15,2015,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,M,38,Severe laceration to left buttock & thigh,N,17h10,,"Daily Telegraph, 8/22/2015"
2015.08.20,20-Aug-15,2015,Unprovoked,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,15,"Injuries to left calf, arm and hand",N,12h30,4' shark,"C. Creswell, GSAF"
2015.08.19,19-Aug-15,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Walking,F,10,Lacerations to right leg,N,15h30,3' shark,"ABC News, 8/21/2015"
2015.08.18.b,18-Aug-15,2015,Unprovoked,USA,California,Santa Barbara County,Kayak Fishing,M,22,"No injury, kayak bitten",N,07h30,"White shark, 13'","R. Collier, GSAF"
2015.08.10,10-Aug-15,2015,Provoked,USA,California,Cortes Bank,Spearfishing,M,57,Right hand bitten  PROVOKED INCIDENT,N,08h00,Hammerhead shark. 6' to 7',"NBC San Diego, 8/13/2015"
2015.07.31,31-Jul-15,2015,Unprovoked,AUSTRALIA,New South Wales,Evans Head,Surfing,M,52,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,06h00,White shark,"Daily Telegraph, 7/31/2015"
2015.07.26.b,26-Jul-15,2015,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,25,Minor injury to sole of foot,N,19h00,"Blacktip or spinner shark, 4'",CBS 7/27/2015
2015.07.26.a,26-Jul-15,2015,Invalid,USA,South Carolina,"Edisto Beach, Colleton County",Floating,F,35,"2' cut to dorsum of foot, 2 puncture wounds to sole",N,10h10,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed","C. Creswell, GSAF, ABC 11, 7/27/2015"
2015.07.23.b,23-Jul-15,2015,Provoked,USA,California,"La Jolla, San Diego County",Kayak Fishing,M,31,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,,"Mako shark, 100-lb","NBC San Diego, 7/27/2015"
2015.07.19,19-Jul-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,M,34,No injury,N,,White shark,"BBC, 7/20/2015"
2015.07-10,10-Jul-15,2015,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,M,38,"No injury, shark bumped & damaged board",N,08h45,"White shark, 7'","KTLA, 7/10/2015"
2015.07.08,08-Jul-15,2015,Invalid,USA,California,"Huntington Beach, Orange County",Treading water,M,39,Laceration to back,N,,Shark involvement not cofirmed,"Sentinel & Enterprise.com, 10/4/2015"
2015.07.03,03-Jul-15,2015,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,52,"No injury, shark bit surfboard",N,09h00,White shark,"Northern Star, 7/3/2015"
2015.07.02,02-Jul-15,2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Body boarding ,M,32,Significant injuries to lower legs,N,09h00,White shark,"Northern Star, 7/2/2015"
2015.06.30.b,30-Jun-15,2015,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Yamba",Surfing,M,,Hand bitten,N,,,"The Telegraph, 7/8/2015"
2015.06.30.a,30-Jun-15,2015,Unprovoked,USA,South Carolina,"Isle of Palms County Park, Isle of Palms, Charleston County",Playing in the water,M,12,Shallow lacerations & puncture to lateral left leg,N,18h05,4' to 5' shark,"C. Creswell, GSAF"
2015.06.27.a,27-Jun-15,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay near Knysna,Body Boarding,M,19,"Right leg severed, multiple lacerations to left leg",N,14h40,White shark,"NSRI, 6/27/205"
2015.06.26.c,26-Jun-15,2015,Invalid,USA,Florida,"Jacksonville Beach, Duval County",Swimming,F,,Minor lacerations to leg,N,19h30,Shark involvement not confirmed,"Action News Jax, 6/26/2015"
2015.06.26.b,26-Jun-15,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,M,23,Multiple lacerations to torso & leg,N,16h00,"White shark, 2m to 3 m",Zig Zag Surfing Magazine
2015.06.26.a,26-Jun-15,2015,Unprovoked,USA,South Carolina,"South Beach, Hunting Island State Park, Beaufort County",Standing,M,43,Puncture wounds to foot,N,11h00,4' shark,"C. Creswell, GSAF; WCNC, 6/26/2015"
2015.06.25.R,Reported 25-Jun-2015,2015,Provoked,AUSTRALIA,Western Australia,Rottnest Island,Swimming,M,19,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N,,Wobbegong shark,"West Australian Police, 6/25/2015"
2015.06.24.a,24-Jun-15,2015,Invalid,AUSTRALIA,Western Australia,Denmark,Surfing,F,37,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,09h30,White shark,"L. Kumpe, R. Mcauley"
2015.06.23,23-Jun-15,2015,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",Standing,M,9,Minor injury to calf ,N,,small shark,"C. Creswell, GSAF; R. Lurye, Island Packet"
2015.06.17,17-Jun-15,2015,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,10,Minor injury to calf ,N,13h00,,"WTXL TV, 6/17/2015"
2015.06.13,13-Jun-15,2015,Unprovoked,USA,California,Off San Diego,,F,,Severe laceration to leg,N,,Mako shark,"Courthouse News Service, 11/18/2015"
2015.06.07,07-Jun-15,2015,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Playing,M,11,Lacerations to right calf,N,10h50,"Bull shark, 5'","Florida Today, 6/7/2015"
2015.06.05,05-Jun-15,2015,Unprovoked,USA,Florida,Fort Lauderdale,Attempting to rescue a shark,F,17,Puncture wound to finger,N,,small nurse shark,"7 News, 6/5/2015"
